"assembly_barcode","source_type","species","ST"
"ESC_FC6864AA_AS","Human","Escherichia coli",131
"ESC_FC6865AA_AS","Human","Escherichia coli",131
"ESC_FC6866AA_AS","Human","Escherichia coli",131
"ESC_FC6868AA_AS","Human","Escherichia coli",131
"ESC_FC6882AA_AS","Human","Escherichia coli",131
"ESC_FC6890AA_AS","Human","Escherichia coli",131
"ESC_FC6894AA_AS","Human","Escherichia coli",131
"ESC_FC6903AA_AS","Human","Escherichia coli",131
"ESC_FC6925AA_AS","Human","Escherichia coli",131
"ESC_FC6961AA_AS","Human","Escherichia coli",131
"ESC_FC6974AA_AS","Human","Escherichia coli",131
"ESC_FC7004AA_AS","Human","Escherichia coli",131
"ESC_FC7012AA_AS","Human","Escherichia coli",131
"ESC_FC7036AA_AS","Human","Escherichia coli",131
"ESC_FC7058AA_AS","Human","Escherichia coli",131
"ESC_FC7060AA_AS","Human","Escherichia coli",131
"ESC_FC7064AA_AS","Human","Escherichia coli",131
"ESC_FC7065AA_AS","Human","Escherichia coli",131
"ESC_FC7067AA_AS","Human","Escherichia coli",131
"ESC_FC7071AA_AS","Human","Escherichia coli",131
"ESC_FC7074AA_AS","Human","Escherichia coli",131
"ESC_FC7075AA_AS","Human","Escherichia coli",131
"ESC_FC7080AA_AS","Human","Escherichia coli",131
"ESC_FC7084AA_AS","Human","Escherichia coli",131
"ESC_FC7085AA_AS","Human","Escherichia coli",131
"ESC_FC7119AA_AS","Human","Escherichia coli",131
"ESC_FC7121AA_AS","Human","Escherichia coli",131
"ESC_FC7191AA_AS","Human","Escherichia coli",131
"ESC_FC7214AA_AS","Human","Escherichia coli",131
"ESC_FC7244AA_AS","Human","Escherichia coli",131
"ESC_FC7246AA_AS","Human","Escherichia coli",131
"ESC_FC7247AA_AS","Human","Escherichia coli",131
"ESC_FC7253AA_AS","Human","Escherichia coli",131
"ESC_FC7257AA_AS","Human","Escherichia coli",131
"ESC_FC7259AA_AS","Human","Escherichia coli",131
"ESC_FC7261AA_AS","Human","Escherichia coli",131
"ESC_FC7262AA_AS","Human","Escherichia coli",131
"ESC_FC7267AA_AS","Human","Escherichia coli",131
"ESC_FC7268AA_AS","Human","Escherichia coli",131
"ESC_FC7274AA_AS","Human","Escherichia coli",131
"ESC_FC7279AA_AS","Human","Escherichia coli",131
"ESC_FC7280AA_AS","Human","Escherichia coli",131
"ESC_FC7281AA_AS","Human","Escherichia coli",131
"ESC_FC7283AA_AS","Human","Escherichia coli",131
